Name,Adress
বই বাজার,"Dhanmondi, Dhanmondi, Dhaka 1205, Bangladesh"
Evaly Zays Official Store,Facebook Page: www.facebook.com/zays.com.bd -- WhatsApp-01612804222 (Any issue Please inbox our FB page or Whatsapp Number)
KhaM Express,"facebook.com/KhaMBangladesh, Agrabad, Chattogram."
Amar IT/আমার আইটি,"# অডার নেয়া বন্ধ আছে # আমার আইটি#দোকান-১৪#লেভেল ৬#ইস্টার্ন মল্লিকা শপিং কমপ্লেক্সে , এলিফ্যান্ট রোড, ঢাকা ১২০৫। https://www.facebook.com/AmarITsolutionBD call:-WhatsApp-wechat #01829542903"
Sanju International,"521/2 South Goran,(1st floor) ,Khilgoan, Road No : 32, Dhaka-1219"
Molla Traders,"Shop# 45,New super market,Baitul mokarram,Gate no-01,Dhaka-1000"
Sadiq Online Store,"(1) Collection Point:-Naohata,Mohadevpur,Naogaon (2) Collection Point:-Subuzbag,Bogra Sadar,Bogra"
Patwary Enterprise,"New Market City Complex, 04th Floor, New Market Area, Dhanmondhi, Dhaka"
Sports one,Maulana Basani Hockey market ..shop name sports one..7/a
Global Collection,"Dhaka, Dhaka, Bangladesh"
Deal Mart,"Road No 19, Dhanmondi, Dhaka, Bangladesh"
BD Gadget box,"Shyamoli, Shyamoli, Dhaka, Bangladesh"
Nazrul Telecom,"Dc court, Sharif market, Shariatpur."
Evaly Flora Limited Official Store,"House #8 (1st Floor), Road # 14, Dhanmondi, Dhaka-1209. Email: info@evaly.com.bd"
Amazan bd e- commarce Ltd.,"Shohidul manson, Level-0 , Kolabagan 4 rastar more,Jhenaidah sadar. Jhenaidah-7300"
Rayyan's Point,"South Paikpara, South Paikpara, Dhaka, Bangladesh"
MUKHOSH,"Jatrabari, Dhaka-1236"
E Tread bd,"Chomuhona, Maulvi Bazar, Bangladesh"
Maa Machinaries & Electronics,"221, 2nd Floor, Shah Plaza, Dakshin Halishahar, Bandartila, Chittagong 4218, Bangladesh."
Evaly Dream Electronics BD Official Store,"Dream Electronics BD, Shop-302, Level-3, Suvastu Arcade it Park, New Elephant Road, Dhaka-1205, Mobile :01730482933"
Origin Starters,"Section-6 Block-a Road-2 Mirpur, Dhaka, Bangladesh"
M/S Wazed Enterprise,"21,shorafatvhobon,95 North Bisil,Mazer Road,Mirpur-1,Dhaka-1216"
Shwapno Electronic and Furniture,"Luxmipura,joydebpur,gazipur."
Al Madina Enterprise,"106`1 Shahid Ayub ali main road, Ward no.3, DSCC, Dhaka-1219"
Bornoenterprise,"6 New super market,1205 Dhaka"
Quick Collection,Mirpur Dohs
MitalyShopbd.com,"Line-4, Block-A, Section-6, Mirpur, Dhaka-1216"
HM Corporation,"Mujib Sarak, Sirajganj"
Rayhan Enterprise,"Haji Ramij Uddin Super Market, Horinhati, Kaliakoir, Gazipur- 1751"
Cotton Kraft,"563, Kazipara Bus Stop, Begum Rokeya Avenue, Dhaka, Bangladesh"
M/s ECO SANITARY,gulisthan siddiqe bazar
BIKERS ZONE,https://www.facebook.com/BIKERS-ZONE-102285667959302/
Early Shop,"41/3 / KA ,Jigatola Kacha Bazar , Dhanmondi -1209"
Family Care,"Rajshahi, Rajshahi, Bangladesh"
The Time Series,"20/a,Zigatola,dhanmondi , Dhaka, Bangladesh"
Imam telecom,"46/1,purana paltan, sobhan mansion(6th floor) Dhaka-1000,Bangladesh"
My shop,"#Flat 247/248,#Block CHA, section 02,Mirpur,Dhaka 1216"
Power Lynx Electronic,"4,Kabi Raz Goli Ln, Dhaka, Bangladesh"
Trops,"116, Matikata Dhaka cantonment, Dhaka cantonment"
Makhraj International Ltd.,"House#6, Larmini Street, Wari, Dhaka-1203. Mobile: 01741495850"
Desh Bangla Telecom,"Saleha Super Market, adamjee EZP, siddhirganj, Narayanganj"
Mohima Fashion,"Sneha Tanha place, 149 East jurain, Road no 1. Dhaka -1204"
Box Techs,"Store: Level: 5, Block C, Shop No: 58/A,69/A, Bashundhara City Shopping Complex, Panthapath, Dhaka Corporate Office: Two Star Tower, 4th Floor 178 East Tejturi Bazaar, Dhaka- 1215"
FASHIONER,"House#06, Road#11, Nikunja-2, Dhaka"
Grrihoshoily,"See More Product in Facebook Page - www.facebook.com/Grrihosoily"""
Books Garden,ঢাকা (অর্ডার করার আগে ফোন দিয়ে স্টক জেনে নিবেন অথবা Whatsapp এ নক্ দিবেন)
Rupok fashion,"House 6/3/4 Nobodoy Housing, Main Road Block : C Mohammadpur"
Comilla Computer,"Shop No: 5020-21, New Market (4th Floor), Kandirpar, Comilla."
Madina Enterprise,444 Ashrafabad road kamrangir chor dhaka 1211.
BISMILLAH ENTERPRISE,"আউসপাড়া,সফি উদ্দিন রোড,কলেজ গেট,টঙ্গী, গাজীপুর"
shahidul store,ব্রাহ্মণদিয়া বাজার সাইদুল স্টোর বিশেষ দ্রষ্টব্য: শুধুমাত্র শপথেকে নিতে হবে কোন প্রকার হোম ডেলিভারি বা কুরিয়ার সার্ভিস প্রদান করা হবে না
NOVEL HOVEL,"ঢাকা, বাংলদেশ (অর্ডার করার পূর্বে ফোন করে স্টক এবং প্রোডাক্ট সম্পর্কে জেনে নিন)"
GADGET KHOR,"Shah Kabir Mazar Rd, Dhaka 1230, Bangladesh"
Recharge,"C,K Gosh Road,Mymensingh"
Accessories Source BD,"West Nandipara Road, Khilgaon,Dhaka, Bangladesh"
সাফা ষ্টোর,Bangladesh
European Sports Shop,Nabisco / Nakhalpara Tejgoan
Bd Fashion Gallery,"1188/2 East shawrapara, kafrul, Dhaka -1206"
Bean Bag BD,"126/1, R.K Mission Road, Gopibag, (Beside Gopibag Jame Mosjid, 4th lane) Dhaka."
ASIAN Generation,shantinagar
IDYLL KART,"120, Momin Road , Kadam Mubarak , Chittagong - Bangladesh."
Ojon Scale Corporation,"13 Swadeshi Bazar Rd, Mymensingh 2200, Bangladesh"
,9 courtland road e6 1njt London Uk
RAIYAN ENTERPRISE,"143/1 Meradia, Dhaka 1219, Bangladesh"
Fitness House BD,"Calling Time: 10 AM to 5 PM. 10 Bango Bandho Avanue, ** Inside Dhaka free Home delivery only small product.. ** Outside Dhaka, Delivery charge applicable.."
RaaZ,"House No.- 96, Shukrabad, Dhamondi32,Dhaka 1215, Bangladesh"
